FECHA,DEPARTAMENTO,MUNICIPIO,CORREGIMIENTOO VEREDA,Superficial,Subterráneo,Fecha de terminación,Hora de terminación,Bosque nativo denso,Bosque intervenido,Bosque plantado,Bosque seco,Cultivos,Páramos,Sabanas y pastizales,Pastos mejorados,Rastrojo,Área total ,Reporte del incendio
02/01/2016,CUNDINAMARCA,GIRARDOT,BARRIO CUNDINAMARCA ,1,0,01/01/2016,6:45,0,0,0,0,0,0,0,0,1,1,"Ct. Carlos Corona de bomberos Girardot, reporta incendio forestal en el Barrio Cundinamarca del Municipio de Girardot, iniciado por causas desconocidas a las 05:00 y liquidado a las 06:45 horas del día 01/01/16 con afectación de 1 hectárea de rastrojo. Atendió bomberos Girardot."
02/01/2016,CUNDINAMARCA,GIRARDOT,BARRIO CAMBULOS,1,0,01/01/2016,12:40,0,0,0,0,0,0,0.5,0,0,0.5,"Ct. Carlos Corona de bomberos Girardot, reporta incendio forestal en el Barrio Cambulos del Municipio de Girardot, iniciado por causas desconocidas a las 11:30 y liquidado a las 12:40 horas del día 01/01/16 con afectación de 0,5 hectáreas de rastrojo. Atendió bomberos Girardot."
02/01/2016,CUNDINAMARCA,GIRARDOT,BARRIO MILRAFLORES,1,0,01/01/2016,14:00,0,0,0,0,0,0,0,0,0.5,0.5,"Ct. Carlos Corona de bomberos Girardot, reporta incendio forestal en el Barrio Miraflores  del Municipio de Girardot, iniciado por causas desconocidas a las 12:30 y liquidado a las 14:00 horas del día 01/01/16 con afectación de 0,5 hectáreas de rastrojo. Atendió bomberos Girardot."
02/01/2016,CUNDINAMARCA,GIRARDOT,VEREDA ALTO DEL ROSARIO,1,0,01/01/2016,16:30,0,0,0,0,0,0,0,0,0.5,0.5,"Ct. Carlos Corona de bomberos Girardot, reporta incendio forestal en el Barrio Altos del Rosario  del Municipio de Girardot, iniciado por causas desconocidas a las 15:30 y liquidado a las 16:30 horas del día 01/01/16 con afectación de 0,5 hectáreas de rastrojo. Atendió bomberos Girardot."
02/01/2016,CUNDINAMARCA,LA MESA,BARRIO EL CUCHARAL,1,0,02/01/2016,9:00,4,0,0,0,0,0,0,0,0,4,"Félix Cana de bomberos La Mesa, reporta incendio forestal en el barrio El Cucharal del Municipio de La Mesa, iniciado por causas desconocidas a las 21:00 horas del día 01/01/16 y liquidado a las 09:00 horas del día 02/01/16 con afectación de 4 hectáreas de bosque nativo. Atendió bomberos La Mesa y CMGRD."
02/01/2016,CUNDINAMARCA,SASAIMA,VEREDA TILATA BAJA,1,0,01/01/2016,23:00,2,0,0,0,0,0,0,0,0,2,"Justiniano Figueroa de bomberos Sasaima reporta incendio forestal en la vereda Tilata Baja del Municipio de Sasaima, iniciado por causas por establecer a las 17:00 y liquidado a las 23:00 horas del día 01/01/16, con afectación de 2 hectáreas de vegetación nativa. Atendió bomberos Sasaima y Comunidad."
02/01/2016,CUNDINAMARCA,VILLETA,VEREDA PAYANDE,1,0,01/01/2016,2:00,0,0,0,0,0,0,0,0,0,1,"Ct. Jaime Martínez de bomberos Villeta, reporta incendio forestal en la vereda Payande del Municipio de Villeta, iniciado por causas desconocidas a las 00:20 y liquidado a las 02:00 horas del día 01/01/16 con afectación de 1 hectárea de caña panelera. Atendió bomberos Villeta y Comunidad."
02/01/2016,CUNDINAMARCA,BOJACA,SECTOR RESERVA FORESTAL SANTA BARBARA,0,1,03/01/2016,18:00,2,0,0,0,0,0,0,0,0,2,"Ct. Iván Darío Valenzuela coordinador departamental de bomberos, reporta incendio forestal en la reserva forestal Santa Bárbara del Municipio de Bojaca, iniciado por causas desconocidas en las horas de la mañana del día 01/01/16 se encuentra atendido por 15 personas de bomberos, defensa civil, CAR y Comunidad. Liquidado a las 18:00 horas del día 03/01/16 con afectación de 2 hectáreas de bosque nativo."
02/01/2016,CUNDINAMARCA,EL COLEGIO,INSPECCION LA VICTORIA,0,1,04/01/2016,12:30,12,0,0,0,0,0,0,0,0,12,"Ct. Iván Darío Valenzuela coordinador departamental de bomberos, reporta incendio forestal en la Inspección La Victoria del Municipio de El Colegio, iniciado por causas desconocidas en las horas de la mañana del día 01/01/16 se encuentra atendido bomberos y la comunidad. Quedo liquidado a las 12:30 horas del día 04/01/16 con afectación de 12 hectáreas de bosque nativo. Atendió bomberos El Colegio, Ponalsar y Comunidad."
02/01/2016,CUNDINAMARCA,LA MESA,VEREDA PALMAR ALTO,1,0,02/01/2016,13:00,0,0,0,0,0,0,0,0,1,1,"Félix Cana de bomberos La Mesa, reporta incendio forestal en la vereda El Palmar Alto  del Municipio de La Mesa, iniciado por causas desconocidas a las 10:00  liquidado a las 13:00 horas del día 02/01/16 con afectación de 1 hectáreas de rastrojo. Atendió bomberos La Mesa y CMGRD."
