;No_.arbol;di;hi;H;D
1;1;17,83;0,01;13,1;15,22
2;1;15,12;1,31;13,1;15,22
3;1;14,77;2,62;13,1;15,22
4;1;13,94;3,93;13,1;15,22
5;1;12,83;5,24;13,1;15,22
6;1;12,8;6,55;13,1;15,22
7;1;10,44;7,86;13,1;15,22
8;1;7,19;9,17;13,1;15,22
9;1;5,49;10,48;13,1;15,22
10;1;4,89;11,79;13,1;15,22
11;1;1,85;13,1;13,1;15,22
12;2;17,92;0,01;11,5;14,77
13;2;14,74;1,15;11,5;14,77
14;2;14,45;2,3;11,5;14,77
15;2;12,51;3,45;11,5;14,77
16;2;10,22;4,6;11,5;14,77
17;2;7,64;5,75;11,5;14,77
18;2;6,02;6,9;11,5;14,77
19;2;5,79;8,05;11,5;14,77
20;2;3,79;9,2;11,5;14,77
21;2;2,04;10,35;11,5;14,77
22;2;1,21;11,5;11,5;14,77
23;3;22,73;0,01;14,4;16,55
24;3;16,49;1,44;14,4;16,55
25;3;15,41;2,88;14,4;16,55
26;3;14,51;4,32;14,4;16,55
27;3;14,01;5,76;14,4;16,55
28;3;13,94;7,2;14,4;16,55
29;3;13,56;8,64;14,4;16,55
30;3;11,46;10,08;14,4;16,55
31;3;10,82;11,52;14,4;16,55
32;3;4,35;12,96;14,4;16,55
33;3;1,25;14,4;14,4;16,55
34;4;60,48;0,01;28,8;49,78
35;4;44,44;2,88;28,8;49,78
36;4;42,97;5,76;28,8;49,78
37;4;42,27;8,64;28,8;49,78
38;4;41,76;11,52;28,8;49,78
39;4;33,3;14,4;28,8;49,78
40;4;31,64;17,28;28,8;49,78
41;4;25,59;20,16;28,8;49,78
42;4;14,58;23,04;28,8;49,78
43;4;9,68;25,92;28,8;49,78
44;4;1,48;28,8;28,8;49,78
45;5;34,7;0,01;12,4;27,18
46;5;27,69;1,24;12,4;27,18
47;5;25,08;2,48;12,4;27,18
48;5;24,19;3,72;12,4;27,18
49;5;20,18;4,96;12,4;27,18
50;5;17,06;6,2;12,4;27,18
51;5;9,42;7,44;12,4;27,18
52;5;7,58;8,68;12,4;27,18
53;5;5,22;9,92;12,4;27,18
54;5;4,01;11,16;12,4;27,18
55;5;2,9;12,4;12,4;27,18
56;6;72,26;0,01;13,7;46,98
57;6;45,01;1,37;13,7;46,98
58;6;43,61;2,74;13,7;46,98
59;6;32,53;4,11;13,7;46,98
60;6;27,37;5,48;13,7;46,98
61;6;22,54;6,85;13,7;46,98
62;6;22,35;8,22;13,7;46,98
63;6;19,54;9,59;13,7;46,98
64;6;10,31;10,96;13,7;46,98
65;6;7;12,33;13,7;46,98
66;6;3,53;13,7;13,7;46,98
67;7;72,38;0,01;14;40,55
68;7;36,67;1,4;14;40,55
69;7;34,12;2,8;14;40,55
70;7;32,4;4,2;14;40,55
71;7;26,55;5,6;14;40,55
72;7;26,29;7;14;40,55
73;7;19,54;8,4;14;40,55
74;7;12,92;9,8;14;40,55
75;7;8,91;11,2;14;40,55
76;7;6,32;12,6;14;40,55
77;7;2,31;14;14;40,55
78;8;28,2;0,01;12,1;25,15
79;8;28,07;1,21;12,1;25,15
80;8;23,75;2,42;12,1;25,15
81;8;16,55;3,63;12,1;25,15
82;8;16,17;4,84;12,1;25,15
83;8;12,22;6,05;12,1;25,15
84;8;9,87;7,26;12,1;25,15
85;8;8,15;8,47;12,1;25,15
86;8;6,62;9,68;12,1;25,15
87;8;3,54;10,89;12,1;25,15
88;8;1,74;12,1;12,1;25,15
89;9;40,87;0,01;11;39,34
90;9;38,83;1,1;11;39,34
91;9;28,52;2,2;11;39,34
92;9;26,61;3,3;11;39,34
93;9;23,3;4,4;11;39,34
94;9;22,35;5,5;11;39,34
95;9;12,54;6,6;11;39,34
96;9;12,22;7,7;11;39,34
97;9;8,53;8,8;11;39,34
98;9;7,19;9,9;11;39,34
99;9;2,6;11;11;39,34
100;10;36,86;0,01;18,7;33,61
101;10;33,17;1,87;18,7;33,61
102;10;31,89;3,74;18,7;33,61
103;10;24,54;5,61;18,7;33,61
104;10;26,74;7,48;18,7;33,61
105;10;16,42;9,35;18,7;33,61
106;10;14,71;11,22;18,7;33,61
107;10;9,99;13,09;18,7;33,61
108;10;7,64;14,96;18,7;33,61
109;10;3,62;16,83;18,7;33,61
110;10;1,33;18,7;18,7;33,61
111;11;42,49;0,01;17,9;39,73
112;11;38,77;1,79;17,9;39,73
113;11;37,43;3,58;17,9;39,73
114;11;30,75;5,37;17,9;39,73
115;11;23,3;7,16;17,9;39,73
116;11;20,44;8,95;17,9;39,73
117;11;16,55;10,74;17,9;39,73
118;11;14,45;12,53;17,9;39,73
119;11;7,19;14,32;17,9;39,73
120;11;2,83;16,11;17,9;39,73
121;11;2,21;17,9;17,9;39,73
122;12;14,42;0;18,32;10,79
123;12;11,4;1,83;18,32;10,79
124;12;10,66;3,66;18,32;10,79
125;12;8,66;5,5;18,32;10,79
126;12;8,12;7,33;18,32;10,79
127;12;7;9,16;18,32;10,79
128;12;4,87;10,99;18,32;10,79
129;12;4,14;12,82;18,32;10,79
130;12;3,37;14,66;18,32;10,79
131;12;1,91;16,49;18,32;10,79
132;12;0,03;18,32;18,32;10,79
133;13;35,08;0;21,9;32,4
134;13;32,6;2,19;21,9;32,4
135;13;29,29;4,38;21,9;32,4
136;13;25,94;6,57;21,9;32,4
137;13;23,33;8,76;21,9;32,4
138;13;20,79;10,95;21,9;32,4
139;13;19,82;13,14;21,9;32,4
140;13;17,19;15,33;21,9;32,4
141;13;9,29;17,52;21,9;32,4
