"";"Localidad";"Ind_localidad";"DAP_cm";"Altura_m";"WD";"X";"Y";"Parcela"
"3660";"Anori";"11_2";32,5;NA;0,445375;22;5;"Anori_2_1"
"3665";"Anori";"11_7";16,81;20,88;0,8615;28,2462;10,4137;"Anori_2_1"
"3671";"Anori";"11_15";28,81;NA;0,578086944;31,25;15,25;"Anori_2_1"
"3676";"Anori";"11_20";37,12;NA;0,590804235;34;15,25;"Anori_2_1"
"3682";"Anori";"11_26";13,11;16,2;0,56821129;34;4;"Anori_2_1"
"3690";"Anori";"11_34";13,47;NA;0,695;26,9999;20,9677;"Anori_2_2"
"3695";"Anori";"11_39";30,84;16,25;0,510402667;34,5;23,75;"Anori_2_2"
"3700";"Anori";"11_44";25,66;NA;0,590807018;21,023;29,829;"Anori_2_2"
"3706";"Anori";"11_50";10,57;NA;0,445375;38,5;31;"Anori_2_2"
"3711";"Anori";"11_55";14,45;NA;0,647;39;38,5;"Anori_2_2"
"3716";"Anori";"11_60";32,15;22,8;0,7835;34,75;43,5;"Anori_2_3"
"3721";"Anori";"11_65";18,34;NA;0,457;25,5;47,25;"Anori_2_3"
"3726";"Anori";"11_70";19,45;17,05;0,590804235;26;51;"Anori_2_3"
"3731";"Anori";"11_75";15,22;20,5;0,590804235;28,25;59,5;"Anori_2_3"
"3736";"Anori";"11_80";11,17;NA;0,590804235;35,25;51;"Anori_2_3"
"3741";"Anori";"11_85";37,02;25,99;0,590804235;37,5;59,5;"Anori_2_3"
"3746";"Anori";"11_90";16,08;17,85;0,539081638;33;55,5;"Anori_2_3"
"3751";"Anori";"11_95";10,5;NA;0,629222222;37,5;63;"Anori_2_4"
"3756";"Anori";"11_100";19,96;17,42;0,56821129;33,75;65,25;"Anori_2_4"
"3761";"Anori";"11_105";15,47;NA;0,825263021;24,5;65,5;"Anori_2_4"
"3766";"Anori";"11_110";10,4;NA;0,458531818;20,5;65;"Anori_2_4"
