"";"N_arbol";"DAP_m";"Diametro_base_m";"Ht_m";"hi_m";"di_m";"Peso_total_trozas_kg";"Peso_verde_rodaja_kg";"Peso_seco_rodaja_kg";"Area_rodaja_m2";"Espesor_rodaja_m2";"Peso_verde_total_ramas_kg";"Peso_verde_total_hojas_kg";"Peso_verde_muestra_ramas_kg";"Peso_seco_muestra_ramas_kg";"Peso_verde_muestra_hojas_kg";"Peso_seco_muestra_hojas_kg"
"1";1;0,1875;0,2405;16,52;1,652;0,180162974;48;1,0242;0,53624;0,03282;0,0277125;40,9902;20,4951;2,1;1,3;0,491;0,27
"2";1;0,1875;0,2405;16,52;3,304;0,161382735;39;0,5712;0,30644;0,02361;0,0219375;NA;NA;NA;NA;NA;NA
"3";1;0,1875;0,2405;16,52;4,956;0,15597148;33;0,7788;0,41777;0,019676;0,0351;NA;NA;NA;NA;NA;NA
"4";1;0,1875;0,2405;16,52;6,608;0,14101095;31;0,4295;0,23464;0,01805;0,0221625;NA;NA;NA;NA;NA;NA
"5";1;0,1875;0,2405;16,52;8,26;0,102177235;25,5;0,386;0,20701;0,014493;0,024525;NA;NA;NA;NA;NA;NA
"6";1;0,1875;0,2405;16,52;9,912;0,096765979;11,5;0,1392;0,0792;0,019676;0,0165125;NA;NA;NA;NA;NA;NA
"7";1;0,1875;0,2405;16,52;11,564;0,079895595;9;0,1725;0,1039;0,00662;0,0244125;NA;NA;NA;NA;NA;NA
"8";1;0,1875;0,2405;16,52;13,216;0,050292844;5,5;0,1047;0,0577;0,004545;0,0215875;NA;NA;NA;NA;NA;NA
"9";1;0,1875;0,2405;16,52;14,868;0,032785842;2;0,0386;0,0188;0,001795;0,020325;NA;NA;NA;NA;NA;NA
"10";1;0,1875;0,2405;16,52;16,52;0,01075;0,451;0,0235;0,012;0,00159;0,0262125;NA;NA;NA;NA;NA;NA
"11";2;0,1115;0,1365;10,86;1,086;0,115864528;11;0,3666;0,18339;0,013593;0,0230875;10,34;5,17;3,1;1,4;0,492;0,21
"12";2;0,1115;0,1365;10,86;2,172;0,116501146;12,5;0,2574;0,1388;0,01008;0,0219125;NA;NA;NA;NA;NA;NA
"13";2;0,1115;0,1365;10,86;3,258;0,082442068;10;0,321;0,1617;0,010073;0,0277875;NA;NA;NA;NA;NA;NA
"14";2;0,1115;0,1365;10,86;4,344;0,08912656;6,5;0,1789;0,1006;0,00506;0,0308625;NA;NA;NA;NA;NA;NA
"15";2;0,1115;0,1365;10,86;5,43;0,062706901;4,5;0,1467;0,0776;0,005045;0,025725;NA;NA;NA;NA;NA;NA
"16";2;0,1115;0,1365;10,86;6,516;0,060160428;3;0,0696;0,0378;0,00283;0,02155;NA;NA;NA;NA;NA;NA
"17";2;0,1115;0,1365;10,86;7,602;0,042971734;2,5;0,0919;0,0475;0,00277;0,0278125;NA;NA;NA;NA;NA;NA
"18";2;0,1115;0,1365;10,86;8,688;0,033104151;1;0,0387;0,0212;0,001405;0,0243;NA;NA;NA;NA;NA;NA
"19";2;0,1115;0,1365;10,86;9,774;0,015915457;0,5;0,016;0,0092;0,00074;0,021625;NA;NA;NA;NA;NA;NA
"20";2;0,1115;0,1365;10,86;10,86;0,038;0,2;0,0103;0,0056;0,000206;0,0511;NA;NA;NA;NA;NA;NA
"21";3;0,165;0,219;9,06;0,906;0,174115101;31,5;1,1636;0,7146;0,039225;0,0259;27,44;13,72;2,8;1,7;0,507;0,24
"22";3;0,165;0,219;9,06;1,812;0,173796791;22,5;0,5593;0,3464;0,022775;0,021275;NA;NA;NA;NA;NA;NA
"23";3;0,165;0,219;9,06;2,718;0,202762923;27;0,6055;0,3655;0,02293;0,0245;NA;NA;NA;NA;NA;NA
"24";3;0,165;0,219;9,06;3,624;0,143557423;19,5;0,662;0,3911;0,025885;0,023075;NA;NA;NA;NA;NA;NA
"25";3;0,165;0,219;9,06;4,53;0,123312962;15;0,4438;0,2319;0,01605;0,0253375;NA;NA;NA;NA;NA;NA
"26";3;0,165;0,219;9,06;5,436;0,109498345;11;0,2266;0,12285;0,010865;0,0189875;NA;NA;NA;NA;NA;NA
"27";3;0,165;0,219;9,06;6,342;0,080213904;6;0,1717;0,1002;0,008813;0,018575;NA;NA;NA;NA;NA;NA
"28";3;0,165;0,219;9,06;7,248;0,049974535;3,5;0,1045;0,065;0,004695;0,0208375;NA;NA;NA;NA;NA;NA
"29";3;0,165;0,219;9,06;8,154;0,02610135;1;0,0424;0,0256;0,001805;0,0218125;NA;NA;NA;NA;NA;NA
"30";3;0,165;0,219;9,06;9,06;0,0181;0,21;0,0109;0,0076;0,000363;0,025775;NA;NA;NA;NA;NA;NA
"31";4;0,265;0,3455;14,42;1,442;0,258467023;78,5;1,515;0,6796;0,056965;0,02395;69,69;34,84;2,9;1,2;0,495;0,25
