"";"Arbol";"DAP..m.";"Ht..m.";"Hi..m.";"Di..m.";"Peso_total_troza..kg.";"Peso_rodajas_humedas_con_corteza.i1..kg.";"Peso_rodajas_humedas_con_corteza.i2..kg.";"Peso_rodajas_secas_con_corteza_.i1..kg.";"Peso_rodajas_secas_con_corteza_.i2..kg.";"Area_rodaja_con_corteza_i1..m2.";"Area_rodaja_con_corteza_i2..m2.";"Espesor_rodaja_i1..m.";"Espesor_rodaja_i2..m.";"Peso_verde.ramas..kg.";"Peso.verde.hojas..kg.";"Peso.verde.muestra.ramas..kg.";"Peso.seco.muestra.ramas..kg.";"Peso.verde.muestra.hojas..kg.";"Peso..seco.muestra.hojas"
"122";12;0,1935;15,18;"0,000";0,23;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"123";12;0,1935;15,18;"1,518";0,201;52;"10.478";"0,9708";"0,52839";"0,51292";0,03702;0,02886;0,0244125;0,0304125;48,7;24,35;2,2;1,2;0,543;0,19
"124";12;0,1935;15,18;"3,036";0,197;47;"0,9432";"1,14";"0,50571";"0,57114";0,0295;0,026826;0,0305;0,0363625;NA;NA;NA;NA;NA;NA
"125";12;0,1935;15,18;"4,554";0,177;46;"10.481";"0,7297";"0,5519";"0,37938";0,028885;0,023046;0,03615;0,0301375;NA;NA;NA;NA;NA;NA
"126";12;0,1935;15,18;"6,072";0,145;37;"0,5041";"0,6157";"0,25519";"0,33208";0,02299;0,01989;0,0208625;0,029075;NA;NA;NA;NA;NA;NA
"127";12;0,1935;15,18;"7,590";0,138;29;"0,5933";"0,2414";"0,30451";"0,1416";0,022633;0,011035;0,0252;0,0213125;NA;NA;NA;NA;NA;NA
"128";12;0,1935;15,18;"9,108";0,105;18;"0,2807";"0,1578";"0,1464";"0,0915";0,0112;0,006603;0,0236625;0,0231;NA;NA;NA;NA;NA;NA
"129";12;0,1935;15,18;"10,626";0,061;9;"0,1351";"0,0722";"0,0745";"0,0439";0,006483;0,002763;0,0202875;0,0257875;NA;NA;NA;NA;NA;NA
"130";12;0,1935;15,18;"12,144";0,067;4;"0,0872";"0,0464";"0,0448";"0,005";0,00281;0,001405;0,02975;0,0390125;NA;NA;NA;NA;NA;NA
"131";12;0,1935;15,18;"13,662";0,025;1,5;"0,0352";"0,0147";"0,0037";"0,0054";0,00105;0,00049;0,0310375;0,029175;NA;NA;NA;NA;NA;NA
"132";12;0,1935;15,18;"15,180";0,013;NA;"0,0109";"0,0023";"0,0053";"0,0008";0,00045;0,00018;0,02015;0,01775;NA;NA;NA;NA;NA;NA
"133";13;0,1075;11,04;"0,000";0,127;NA;"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"134";13;0,1075;11,04;"1,104";0,102;14;"0,3497";"0,2332";"0,1798";"0,1129";0,01178;0,008135;0,023425;0,02715;11,9;5,95;2,2;1,8;0,553;0,16
"135";13;0,1075;11,04;"2,208";0,123;11,5;"0,2537";"0,337";"0,1269";"0,1741";0,007815;0,009933;0,029775;0,0312;NA;NA;NA;NA;NA;NA
"136";13;0,1075;11,04;"3,312";0,085;8,5;"0,4179";"0,1205";"0,213";"0,0428";0,012536;0,005285;0,03025;0,0215;NA;NA;NA;NA;NA;NA
"137";13;0,1075;11,04;"4,416";0,099;7,5;"0,1495";"0,1307";"0,0724";"0,0676";0,005516;0,00563;0,0256875;0,019825;NA;NA;NA;NA;NA;NA
"138";13;0,1075;11,04;"5,520";0,077;7;"0,1671";"0,0993";"0,087";"0,0483";0,005776;0,004583;0,0262;0,020975;NA;NA;NA;NA;NA;NA
"139";13;0,1075;11,04;"6,624";0,066;5;"0,1343";"0,085";"0,062";"0,026";0,004545;0,00288;0,025525;0,0282625;NA;NA;NA;NA;NA;NA
"140";13;0,1075;11,04;"7,728";0,048;2,5;"0,0527";"0,0377";"0,0246";"0,0178";0,001615;0,00152;0,029575;0,0221125;NA;NA;NA;NA;NA;NA
