,Parcela,Id,DAP_cm,dist_h_m,V_mas,V_int,V_menos,H_fuste,H_total,dc_1_m,dc_2_m,diam_1_cm,diam_2_cm,ab_m2,dcopa,acopa_m2,H_clino,Hf_clino
1,7,1,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111627855565516,NA,NA,NA,NA
2,7,2,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0295592452776264,NA,NA,NA,NA
3,7,3,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0699807435045803,NA,NA,NA,NA
4,7,4,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0430052618349907,NA,NA,NA,NA
5,7,5,32.3,12.4,0.767944870877505,0.436332312998582,0.139626340159546,1.8,15.4,7.28,6.6,30.6,32.2,0.0819398049890924,6.94,37.8276029826093,13.7172471579174,7.52492131143164
6,7,6,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069746498502347,NA,NA,NA,NA
7,7,7,31.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759156518501829,NA,NA,NA,NA
8,7,8,13.37,14.9,0.593411945678072,0.296705972839036,0.279252680319093,2,10.8,1.41,0.97,13.8,12.6,0.0140395340954621,1.19,1.11220233918713,14.3226831487584,8.82789340154028
9,7,9,43.26,11.4,0.785398163397448,0.331612557878923,0.244346095279206,1,18.4,9.96,12.15,41.7,44.4,0.146981579997129,11055,95.9858853782464,14.2423392324123,6.76767402391444
10,7,10,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0419096313970512,NA,NA,NA,NA
11,8,1,26.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0540364068053752,NA,NA,NA,NA
12,8,2,16.55,15.8,0.715584993317675,0.174532925199433,0.15707963267949,4.4,17.4,3.87,4.75,16.2,15.1,0.021512252044997,4.31,14.5896348230873,16.2372046146241,5.28844045232142
13,8,3,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172731754138021,NA,NA,NA,NA
